time (s),Mass (g),HRR (kW/m2),Exhaust MFR (g/s),O2 (vol),CO2 (vol),CO (vol),ksmoke (1/m)
0.00,196.030,3.0,NaN,20.86325645,0.043383341,0.00875,0.003
1.00,196.000,3.4,NaN,20.85759354,0.044,0.014,0.001
2.00,195.980,4.8,NaN,20.85680962,0.044,0.001,0.003
3.00,195.980,3.4,NaN,20.85415649,0.043000001,0,0.005
4.00,196.000,3.2,NaN,20.8567791,0.043000001,0.001,-0.002
5.00,196.020,2.1,NaN,20.85717583,0.044,0.009,0.002
6.00,195.990,1.4,NaN,20.85925293,0.044,0.016000001,0.004
7.00,196.020,1.5,NaN,20.86057663,0.044,0.023,0.004
8.00,196.030,0.8,NaN,20.86030006,0.044,0.011,0.011
9.00,196.040,0.1,NaN,20.86177635,0.044,0.012,0.002
10.00,196.050,1.1,NaN,20.86308289,0.044,0.008,0.004
11.00,196.000,0.8,NaN,20.86121559,0.044,0,0.003
12.00,196.010,0.1,NaN,20.86172867,0.044,0.004,0.002
13.00,195.980,0.9,NaN,20.86306381,0.043000001,0.002,0.007
14.00,195.970,1.2,NaN,20.86163521,0.043000001,0.005,0.004
15.00,196.000,1.8,NaN,20.86092758,0.043000001,0.005,0.009
16.00,195.990,3.5,NaN,20.85978889,0.043000001,0.017000001,0.010
17.00,195.990,3.2,NaN,20.85663033,0.044,0.015,0.008
18.00,195.960,2.4,NaN,20.85722733,0.044,0.008,0.009
19.00,195.960,1.2,NaN,20.85874557,0.043000001,0.003,0.008
20.00,195.960,1.5,NaN,20.8609333,0.043000001,0.009,0.004
21.00,195.960,0.5,NaN,20.86044693,0.043000001,0.008,0.009
22.00,195.970,1.3,NaN,20.862257,0.043000001,0.003,0.013
23.00,195.960,1.4,NaN,20.86071396,0.043000001,0.011,0.009
24.00,195.990,0.3,NaN,20.86058617,0.043000001,0.009,0.004
25.00,195.980,-0.7,NaN,20.86269569,0.043000001,0.001,0.004
26.00,195.980,-0.3,NaN,20.8646431,0.043000001,0.004,0.008
